sample,____Bacteria,____Eukaryota,______Bacillati,______Opisthokonta,______Pseudomonadati,unclassified
Brachy_Blank,10.36,12.69,4.29,12.63,5.79,76.24
Brachy_c_sedi,14.12,1.42,3.9,1.41,9.38,84.18
Brachy_cells,18.17,0,7.57,0,9.47,81.47
Brachy_v_sedi,10.25,2.99,3.49,2.96,6.12,86.39
Brachy_vessels,18.64,0,8.72,0,8.87,80.26
Trex_ExtrBlank,11.17,38.35,5.15,38.23,5.66,49.36
Trex_c_sedi,7.21,5.28,1.32,5.25,5.76,87.19
Trex_cells,4.74,4.8,0,4.77,3.73,89.61
Trex_v_sedi,3.25,0,0,0,2.18,95.62
Trex_vessels,11.62,0,3.31,0,8.09,87.89
