sample	total_reads	R1_total	R1_trimmed	R2_total	R2_trimmed	merged
Brachy_Blank	91592712	45796356	23081987	45796356	14073047	75539044
Brachy_cells	675698180	337849090	157010629	337849090	100274196	557543426
Brachy_c_sedi	96402232	48201116	19092210	48201116	12894149	84758392
Brachy_vessels	327279862	163639931	61995998	163639931	37254821	252107444
Brachy_v_sedi	24071368	12035684	6491824	12035684	3146163	16851316
Trex_cells	372679752	186339876	126454998	186339876	90697470	343448472
Trex_c_sedi	105026180	52513090	34030999	52513090	22302784	93201942
Trex_ExtrBlank	76781220	38390610	31627279	38390610	9926676	33627634
Trex_vessels	477581256	238790628	178440835	238790628	117108774	424255104
Trex_v_sedi	121451024	60725512	56755780	60725512	13014488	27812772
