sample,____Bacteria,____Eukaryota,______Bacillati,______Opisthokonta,______Pseudomonadati,unclassified
Brachy_Blank,9.77,12.54,3.98,12.48,5.55,77.08
Brachy_c_sedi,13.13,1.38,3.58,1.37,8.77,85.25
Brachy_cells,16.74,0,6.97,0,8.75,82.92
Brachy_v_sedi,9.37,2.88,3.14,2.85,5.67,87.48
Brachy_vessels,17.42,0,8.16,0,8.29,81.56
Trex_ExtrBlank,10.07,38.32,4.54,38.2,5.29,50.71
Trex_c_sedi,6.55,5.15,1.18,5.13,5.25,88.01
Trex_cells,4.11,4.72,0,4.69,3.23,90.39
Trex_v_sedi,2.71,0,0,0,1.86,96.18
Trex_vessels,10.11,0,2.79,0,7.13,89.42
