Sample	QGL	GL	gL	gxL	gxyL	gxy	Total_Reads
Brachy_Blank	99.05	97.4	88.78	87.72	84.7	84.29	91592712
Brachy_c_sedi	99.7	98.05	94.09	93.91	92.06	91.9	96402232
Brachy_cells	99.58	97.44	92.07	91.98	89.06	88.96	675698180
Brachy_v_sedi	96.26	94.41	79.12	77.83	71.63	70.83	24071368
Brachy_vessels	99.75	97.77	90.45	90.32	86.72	86.63	327279862
Trex_ExtrBlank	95.25	92.55	52.84	50.48	41.77	39.06	76781220
Trex_c_sedi	99.2	97.9	91.36	91.13	89.09	88.73	105026180
Trex_cells	99.84	98.42	95.32	95.15	93.85	93.71	372679752
Trex_v_sedi	88.63	85.04	35.22	34.41	22.43	17.75	121451024
Trex_vessels	99.69	98.1	91.87	91.77	89.2	88.97	477581256
