Interval	Brachy_Blank	Brachy_c_sedi	Brachy_cells	Brachy_v_sedi	Brachy_vessels	Trex_ExtrBlank	Trex_c_sedi	Trex_cells	Trex_v_sedi	Trex_vessels
[613,790)	0	0	0	3352	0	3730	0	0	0	0
[790,1898)	0	0	0	1722	0	1081	0	0	199	0
[1898,3151)	951	0	0	23	0	58	0	0	910	0
[3151,6346)	663	0	0	7	0	26	174	0	441	169
[6346,7775)	31	302	0	0	0	3	627	170	34	599
[7775,9297)	21	554	0	0	0	5	325	389	18	340
[9297,13251)	15	416	0	0	0	0	233	396	12	288
[13251,39347)	19	162	0	0	279	9	144	345	3	161
[39347,68212)	5	12	379	0	555	5	22	51	0	13
[68212,1401692)	21	32	652	0	202	32	22	58	0	5
