sample	fa_id	query_len	species
Bracky_Blank.unc	0	947	Lacticaseibacillus paracasei
Bracky_Blank.unc	10	592	uncultured bacterium
Bracky_Blank.unc	11	1273	Microbacterium sp. TBD155
Bracky_Blank.unc	12	1459	Homo sapiens
Bracky_Blank.unc	13	1191	Aureobasidium sp.
Bracky_Blank.unc	14	714	Ochrobactrum sp. VM6
Bracky_Blank.unc	15	905	Enterococcus sp. DIV0800
Bracky_Blank.unc	16	1819	Pseudomonas yamanorum
Bracky_Blank.unc	17	538	Rothia kristinae
Bracky_Blank.unc	18	503	human gammaherpesvirus 4
Bracky_Blank.unc	19	827	Pan troglodytes
Bracky_Blank.unc	1	1204	Vector pUCT7POL
Bracky_Blank.unc	20	519	uncultured Arthrobacter sp.
Bracky_Blank.unc	21	594	Enterococcus faecalis
Bracky_Blank.unc	22	562	Homo sapiens
Bracky_Blank.unc	23	615	Aphanopsis coenosa
Bracky_Blank.unc	24	1176	Brevundimonas sp. CHNTR43
Bracky_Blank.unc	25	1144	uncultured bacterium
Bracky_Blank.unc	26	631	Pseudomonas aeruginosa
Bracky_Blank.unc	27	837	Methylobacterium radiotolerans
Bracky_Blank.unc	28	944	uncultured bacterium
Bracky_Blank.unc	29	944	Pseudomonas lijiangensis
Bracky_Blank.unc	2	566	uncultured eukaryote
Bracky_Blank.unc	30	793	uncultured bacterium
Bracky_Blank.unc	31	776	Paeniglutamicibacter kerguelensis
Bracky_Blank.unc	32	871	uncultured bacterium
Bracky_Blank.unc	33	503	Lactococcus lactis
Bracky_Blank.unc	34	568	Brachynema ramiflorum
Bracky_Blank.unc	35	1212	uncultured marine bacterium
Bracky_Blank.unc	36	1454	Pinus tabuliformis
Bracky_Blank.unc	37	726	uncultured bacterium
Bracky_Blank.unc	38	1259	Cloning vector pJG032
Bracky_Blank.unc	39	675	Chryseobacterium sp.
Bracky_Blank.unc	3	662	Homo sapiens
Bracky_Blank.unc	40	631	Orbilia phragmotricha
Bracky_Blank.unc	41	977	Brevundimonas sp. hswX143
Bracky_Blank.unc	42	761	Rhodococcus sp. HLSB305
Bracky_Blank.unc	43	840	unidentified expression vector
Bracky_Blank.unc	44	819	uncultured fungus
